lightsalmon	#FFA07A	rgb(255,160,122)
turquoise	#40E0D0	rgb(64,224,208)
mediumturquoise	#48D1CC	rgb(72,209,204)
darkturquoise	#00CED1	rgb(0,206,209)
lightseagreen	#20B2AA	rgb(32,178,170)
cadetblue	#5F9EA0	rgb(95,158,160)
darkcyan	#008B8B	rgb(0,139,139)
teal	#008080	rgb(0,128,128)
powderblue	#B0E0E6	rgb(176,224,230)
lightblue	#ADD8E6	rgb(173,216,230)
lightskyblue	#87CEFA	rgb(135,206,250)
skyblue	#87CEEB	rgb(135,206,235)
deepskyblue	#00BFFF	rgb(0,191,255)
lightsteelblue	#B0C4DE	rgb(176,196,222)
dodgerblue	#1E90FF	rgb(30,144,255)
cornflowerblue	#6495ED	rgb(100,149,237)
steelblue	#4682B4	rgb(70,130,180)
royalblue	#4169E1	rgb(65,105,225)
blue	#0000FF	rgb(0,0,255)
mediumblue	#0000CD	rgb(0,0,205)
darkblue	#00008B	rgb(0,0,139)
navy	#000080	rgb(0,0,128)
midnightblue	#191970	rgb(25,25,112)
mediumslateblue	#7B68EE	rgb(123,104,238)
slateblue	#6A5ACD	rgb(106,90,205)
darkslateblue	#483D8B	rgb(72,61,139)
lavender	#E6E6FA	rgb(230,230,250)
thistle	#D8BFD8	rgb(216,191,216)
plum	#DDA0DD	rgb(221,160,221)
violet	#EE82EE	rgb(238,130,238)
orchid	#DA70D6	rgb(218,112,214)
fuchsia	#FF00FF	rgb(255,0,255)
magenta	#FF00FF	rgb(255,0,255)
mediumorchid	#BA55D3	rgb(186,85,211)
mediumpurple	#9370DB	rgb(147,112,219)
blueviolet	#8A2BE2	rgb(138,43,226)
darkviolet	#9400D3	rgb(148,0,211)
darkorchid	#9932CC	rgb(153,50,204)
darkmagenta	#8B008B	rgb(139,0,139)
purple	#800080	rgb(128,0,128)
indigo	#4B0082	rgb(75,0,130)
pink	#FFC0CB	rgb(255,192,203)
lightpink	#FFB6C1	rgb(255,182,193)
hotpink	#FF69B4	rgb(255,105,180)
deeppink	#FF1493	rgb(255,20,147)
palevioletred	#DB7093	rgb(219,112,147)
mediumvioletred	#C71585	rgb(199,21,133)
white	#FFFFFF	rgb(255,255,255)
snow	#FFFAFA	rgb(255,250,250)
honeydew	#F0FFF0	rgb(240,255,240)
mintcream	#F5FFFA	rgb(245,255,250)
azure	#F0FFFF	rgb(240,255,255)
aliceblue	#F0F8FF	rgb(240,248,255)
ghostwhite	#F8F8FF	rgb(248,248,255)
whitesmoke	#F5F5F5	rgb(245,245,245)
seashell	#FFF5EE	rgb(255,245,238)
beige	#F5F5DC	rgb(245,245,220)
oldlace	#FDF5E6	rgb(253,245,230)
floralwhite	#FFFAF0	rgb(255,250,240)
ivory	#FFFFF0	rgb(255,255,240)
antiquewhite	#FAEBD7	rgb(250,235,215)
linen	#FAF0E6	rgb(250,240,230)
lavenderblush	#FFF0F5	rgb(255,240,245)
mistyrose	#FFE4E1	rgb(255,228,225)
gainsboro	#DCDCDC	rgb(220,220,220)
lightgray	#D3D3D3	rgb(211,211,211)
silver	#C0C0C0	rgb(192,192,192)
darkgray	#A9A9A9	rgb(169,169,169)
gray	#808080	rgb(128,128,128)
dimgray	#696969	rgb(105,105,105)
lightslategray	#778899	rgb(119,136,153)
slategray	#708090	rgb(112,128,144)
darkslategray	#2F4F4F	rgb(47,79,79)
black	#000000	rgb(0,0,0)
cornsilk	#FFF8DC	rgb(255,248,220)
blanchedalmond	#FFEBCD	rgb(255,235,205)
bisque	#FFE4C4	rgb(255,228,196)
navajowhite	#FFDEAD	rgb(255,222,173)
wheat	#F5DEB3	rgb(245,222,179)
burlywood	#DEB887	rgb(222,184,135)
tan	#D2B48C	rgb(210,180,140)
rosybrown	#BC8F8F	rgb(188,143,143)
sandybrown	#F4A460	rgb(244,164,96)
goldenrod	#DAA520	rgb(218,165,32)
peru	#CD853F	rgb(205,133,63)
chocolate	#D2691E	rgb(210,105,30)
saddlebrown	#8B4513	rgb(139,69,19)
sienna	#A0522D	rgb(160,82,45)
brown	#A52A2A	rgb(165,42,42)
maroon	#800000	rgb(128,0,0)
